id,name,text,genres,cast_names,year
1,Deadpool,"Title: Deadpool. Movie: Deadpool. Deadpool. Release year: 2016. Overview: A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.",[],[],2016
2,Guardians of the Galaxy,Title: Guardians of the Galaxy. Movie: Guardians of the Galaxy. Guardians of the Galaxy. Release year: 2014. Overview: A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,[],[],2014
3,Interstellar,"Title: Interstellar. Movie: Interstellar. Interstellar. Release year: 2014. Overview: When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",[],[],2014
4,The Dark Knight,"Title: The Dark Knight. Movie: The Dark Knight. The Dark Knight. Release year: 2008. Overview: When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",[],[],2008
5,Inception,"Title: Inception. Movie: Inception. Inception. Release year: 2010. Overview: A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",[],[],2010
6,The Matrix,"Title: The Matrix. Movie: The Matrix. The Matrix. Release year: 1999. Overview: When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",[],[],1999
7,The Avengers,Title: The Avengers. Movie: The Avengers. The Avengers. Release year: 2012. Overview: Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,[],[],2012
8,Doctor Strange,"Title: Doctor Strange. Movie: Doctor Strange. Doctor Strange. Release year: 2016. Overview: While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",[],[],2016
9,Avengers: Infinity War,Title: Avengers: Infinity War. Movie: Avengers: Infinity War. Avengers: Infinity War. Release year: 2018. Overview: The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,[],[],2018
10,Avatar,Title: Avatar. Movie: Avatar. Avatar. Release year: 2009. Overview: A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,[],[],2009
11,Logan,"Title: Logan. Movie: Logan. Logan. Release year: 2017. Overview: In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",[],[],2017
12,The Lord of the Rings: The Fellowship of the Ring,Title: The Lord of the Rings: The Fellowship of the Ring. Movie: The Lord of the Rings: The Fellowship of the Ring. The Lord of the Rings: The Fellowship of the Ring. Release year: 2001. Overview: A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,[],[],2001
